Method,Age,Fate,Top genes,AP
StatOT,11.0 (wks),Baso/Mast,5,0.8333333333333334
GT-TC,11.0 (wks),Baso/Mast,5,0.6
gStatOT,13.0 (wks),Baso/Mast,5,0.8034782608695652
StatOT,13.0 (wks),Baso/Mast,5,0.0
GT-TC,13.0 (wks),Baso/Mast,5,0.36
gStatOT,14.0 (wks),Baso/Mast,5,0.30179712760357924
StatOT,14.0 (wks),Baso/Mast,5,0.0
GT-TC,14.0 (wks),Baso/Mast,5,0.1
gStatOT,15.0 (wks),Baso/Mast,5,0.6251948051948052
StatOT,15.0 (wks),Baso/Mast,5,0.27271656229291324
GT-TC,15.0 (wks),Baso/Mast,5,0.32166666666666666
gStatOT,20.0 (wks),Baso/Mast,5,0.11937045129936377
StatOT,20.0 (wks),Baso/Mast,5,0.0
GT-TC,20.0 (wks),Baso/Mast,5,0.5966666666666667
gStatOT,22.0 (wks),Baso/Mast,5,1.0
StatOT,22.0 (wks),Baso/Mast,5,0.0
GT-TC,22.0 (wks),Baso/Mast,5,0.7
gStatOT,23.0 (wks),Baso/Mast,5,0.8625
StatOT,23.0 (wks),Baso/Mast,5,0.5977777777777777
GT-TC,23.0 (wks),Baso/Mast,5,0.8
gStatOT,0.0 (yrs),Granulocyte,10,0.8036596736596737
StatOT,0.0 (yrs),Granulocyte,10,0.0
GT-TC,0.0 (yrs),Granulocyte,10,0.4863095238095238
gStatOT,2.0 (yrs),Granulocyte,10,0.5536069465267366
StatOT,2.0 (yrs),Granulocyte,10,0.5539861751152074
GT-TC,2.0 (yrs),Granulocyte,10,0.2984722222222222
gStatOT,4.0 (yrs),Granulocyte,10,0.8330999066293184
StatOT,4.0 (yrs),Granulocyte,10,0.9019570707070708
GT-TC,4.0 (yrs),Granulocyte,10,0.42315476190476187
gStatOT,10.0 (yrs),Granulocyte,10,0.9588235294117646
StatOT,10.0 (yrs),Granulocyte,10,0.8175396825396826
GT-TC,10.0 (yrs),Granulocyte,10,0.3661706349206349
gStatOT,12.0 (yrs),Granulocyte,10,0.7401037598137846
StatOT,12.0 (yrs),Granulocyte,10,0.5899806076276665
GT-TC,12.0 (yrs),Granulocyte,10,0.5048809523809523
gStatOT,17.0 (yrs),Granulocyte,10,0.857012987012987
StatOT,17.0 (yrs),Granulocyte,10,0.9622222222222222
GT-TC,17.0 (yrs),Granulocyte,10,0.30833333333333335
gStatOT,25.0 (yrs),Granulocyte,10,0.9714285714285713
StatOT,25.0 (yrs),Granulocyte,10,0.850142390289449
GT-TC,25.0 (yrs),Granulocyte,10,0.6748611111111111
gStatOT,32.0 (yrs),Granulocyte,10,0.8159267040149393
StatOT,32.0 (yrs),Granulocyte,10,0.954040404040404
GT-TC,32.0 (yrs),Granulocyte,10,0.8527182539682541
gStatOT,35.0 (yrs),Granulocyte,10,1.0
StatOT,35.0 (yrs),Granulocyte,10,1.0
GT-TC,35.0 (yrs),Granulocyte,10,0.7959126984126985
gStatOT,45.0 (yrs),Granulocyte,10,0.8540530303030304
StatOT,45.0 (yrs),Granulocyte,10,0.9153499278499279
GT-TC,45.0 (yrs),Granulocyte,10,0.7288888888888889
gStatOT,53.0 (yrs),Granulocyte,10,0.976923076923077
StatOT,53.0 (yrs),Granulocyte,10,0.9833333333333334
GT-TC,53.0 (yrs),Granulocyte,10,0.6254365079365078
gStatOT,62.0 (yrs),Granulocyte,10,0.9353174603174603
StatOT,62.0 (yrs),Granulocyte,10,0.6560716135716136
GT-TC,62.0 (yrs),Granulocyte,10,0.6641666666666666
gStatOT,76.0 (yrs),Granulocyte,10,0.8517807384186694
StatOT,76.0 (yrs),Granulocyte,10,0.890588023088023
GT-TC,76.0 (yrs),Granulocyte,10,0.6826388888888889
gStatOT,77.0 (yrs),Granulocyte,10,0.9180555555555555
StatOT,77.0 (yrs),Granulocyte,10,0.9192307692307692
GT-TC,77.0 (yrs),Granulocyte,10,0.7
gStatOT,10.0 (wks),Granulocyte,10,0.8597394220846233
StatOT,10.0 (wks),Granulocyte,10,0.9443181818181818
GT-TC,10.0 (wks),Granulocyte,10,0.3930952380952381
gStatOT,11.0 (wks),Granulocyte,10,0.6887714573008691
StatOT,11.0 (wks),Granulocyte,10,0.9133716475095784
GT-TC,11.0 (wks),Granulocyte,10,0.29214285714285715
gStatOT,13.0 (wks),Granulocyte,10,0.8368457943925234
StatOT,13.0 (wks),Granulocyte,10,0.923531746031746
GT-TC,13.0 (wks),Granulocyte,10,0.45369047619047614
gStatOT,14.0 (wks),Granulocyte,10,0.7355128205128205
StatOT,14.0 (wks),Granulocyte,10,0.6678234265734265
GT-TC,14.0 (wks),Granulocyte,10,0.4969642857142857
gStatOT,15.0 (wks),Granulocyte,10,0.6796336996336996
